ticker,beta,cumulative_return,annual_rate_return,annualyzed_volatility
LUXM3.SA,0.0,0.0,0.0,0.0
TGMA3.SA,1.1560884638162086,-0.23527745010598533,-0.03249638444721007,0.6757388643026825
CCRO3.SA,1.2412560597954732,-0.284695540905463,-0.1172314651009092,0.6546252024724925
ECOR3.SA,1.3012053498666953,-0.19235587014325972,0.027405154228558187,0.6881388200915045
TPIS3.SA,1.0151783867068838,0.3797468402182844,0.7547841075904133,0.9587654029709117
STBP3.SA,1.0972593045726167,-0.3187500238418568,-0.12199382044699057,0.7054848866084226
ATMP3.SA,0.6137413049130592,-0.7125416372502422,-1.0474960609458337,0.5850133641253015
CARD3.SA,0.5721246174887427,0.2747069348339317,0.40379665996064984,0.5768405613037041
DTCY3.SA,0.055194757098856066,0.43076929425347177,0.6688156037457901,0.8310171899397719
VLID3.SA,0.986385713417624,-0.40129033980830975,-0.22644790006756688,0.741301611868921
BTTL3.SA,0.15592311502373288,0.7844827657080402,0.9936661798993891,0.9508691537330014
MMAQ3.SA,0.0,0.0,0.0,0.0
WLMM3.SA,0.27172660825545525,0.9177718593570767,1.238927458436777,1.2606758574610417
AGRO3.SA,0.39124420409686633,0.43999996700802324,0.43254748359134537,0.387280296995173
FRTA3.SA,0.8049592741753975,-0.20253163105286787,0.5202033755863642,1.2576057027673313
SLCE3.SA,0.4832752133362678,0.3772007861433133,0.4079826153133861,0.4350942533681184
TESA3.SA,0.7635547201154241,0.42390246507597906,0.5741147220503579,0.6812725296662807
BSEV3.SA,1.1147920818621957,1.2697841754383368,1.328458417297702,1.0595406205242415
SMTO3.SA,0.9888491959305326,0.3537653182892173,0.5379285742845226,0.669228066348628
BRFS3.SA,0.9319300234462573,-0.3636892197007099,-0.2531358000022532,0.6121766860389019
BAUH3.SA,0.0,0.0,0.0,0.0
JBSS3.SA,0.9099614241065274,-0.07276189894903207,0.10921636282617167,0.6124655400934991
MRFG3.SA,1.0362968375974548,0.4537036755411674,0.6189767525613882,0.7012747854477477
BEEF3.SA,0.6633399443740415,-0.19348203096866046,-0.027883965131828253,0.6014881141787314
MNPR3.SA,0.39308962359346455,0.2271914036243028,0.41238077502831694,0.6526343048851805
CAML3.SA,0.3971754812527924,0.2587175644810942,0.3030522911947297,0.3936742218814384
JOPA3.SA,-0.0584265372146728,0.43999994718111535,0.5219438991779726,0.5828610003312704
MDIA3.SA,0.7813694990978868,-0.09437044268435613,0.032184640400525544,0.5051967435278569
ABEV3.SA,0.743043649378023,-0.1319770827635075,-0.030122129250508223,0.46313688519268703
NTCO3.SA,1.177852434751457,0.3243243959767852,0.5025223288256804,0.6660202757218567
CRFB3.SA,0.5098165445099162,-0.12897443665949726,-0.05197693152098,0.4091219484738901
PCAR3.SA,0.5089379629862562,-0.1381638069169122,-0.02959389831887239,0.48438787199920375
CALI3.SA,0.0,0.0,0.0,0.0
